,Series_reference,Data_value,STATUS
305,BDCQ.SEA1BT,5363.0,R
306,BDCQ.SEA1BT,5363.0,R
307,BDCQ.SEA1BT,5393.0,R
308,BDCQ.SEA1BT,5457.0,R
309,BDCQ.SEA1BT,5503.0,R
310,BDCQ.SEA1BT,5552.0,R
311,BDCQ.SEA1BT,5620.0,R
312,BDCQ.SEA1BT,5754.0,R
313,BDCQ.SEA1BT,5830.0,R
314,BDCQ.SEA1BT,5824.0,R
315,BDCQ.SEA1BT,5789.0,R
316,BDCQ.SEA1BT,5864.0,R
317,BDCQ.SEA1BT,5970.0,F
318,BDCQ.SEA1CA,206633.0,F
319,BDCQ.SEA1CA,200677.0,F
320,BDCQ.SEA1CA,204217.0,F
321,BDCQ.SEA1CA,208617.0,F
322,BDCQ.SEA1CA,206645.0,F
323,BDCQ.SEA1CA,199425.0,F
324,BDCQ.SEA1CA,203691.0,F
325,BDCQ.SEA1CA,208709.0,F
326,BDCQ.SEA1CA,205207.0,F
327,BDCQ.SEA1CA,201457.0,F
328,BDCQ.SEA1CA,207492.0,F
329,BDCQ.SEA1CA,211991.0,F
330,BDCQ.SEA1CA,210124.0,F
331,BDCQ.SEA1CA,205440.0,F
332,BDCQ.SEA1CA,207594.0,F
333,BDCQ.SEA1CA,214158.0,F
334,BDCQ.SEA1CA,212246.0,F
335,BDCQ.SEA1CA,207462.0,F
336,BDCQ.SEA1CA,211402.0,F
337,BDCQ.SEA1CA,216597.0,F
338,BDCQ.SEA1CA,214710.0,F
339,BDCQ.SEA1CA,209854.0,F
340,BDCQ.SEA1CA,215317.0,F
341,BDCQ.SEA1CA,219090.0,F
342,BDCQ.SEA1CA,219130.0,F
343,BDCQ.SEA1CA,213648.0,F
344,BDCQ.SEA1CA,220066.0,F
345,BDCQ.SEA1CA,225445.0,F
346,BDCQ.SEA1CA,224308.0,F
347,BDCQ.SEA1CA,218059.0,F
348,BDCQ.SEA1CA,223667.0,F
349,BDCQ.SEA1CA,227931.0,F
350,BDCQ.SEA1CA,225492.0,F
351,BDCQ.SEA1CA,219991.0,F
352,BDCQ.SEA1CA,227095.0,F
353,BDCQ.SEA1CA,228672.0,F
354,BDCQ.SEA1CA,224825.0,F
355,BDCQ.SEA1CA,218967.0,R
356,BDCQ.SEA1CA,222691.0,R
357,BDCQ.SEA1CA,223355.0,R
358,BDCQ.SEA1CA,224296.0,R
359,BDCQ.SEA1CA,221282.0,R
360,BDCQ.SEA1CA,226109.0,R
361,BDCQ.SEA1CA,228608.0,R
362,BDCQ.SEA1CA,226870.0,R
363,BDCQ.SEA1CA,224994.0,R
364,BDCQ.SEA1CA,229708.0,R
